accession	locus	organism	mol_type	strain	country	location	continent	collection_date.y	collection_date.m	collection_date.d	host	isolation_source	isolate	length	N	M	F	HN	L	NP	P	D
GU732146.1	GU732146	Human respirovirus 3	viral cRNA	BJ/189/09	China	Beijing	Asia	2009	3	1	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732147.1	GU732147	Human respirovirus 3	viral cRNA	BJ/194/09	China	Beijing	Asia	2009	3	1	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732148.1	GU732148	Human respirovirus 3	viral cRNA	BJ/209/09	China	Beijing	Asia	2009	3	1	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732149.1	GU732149	Human respirovirus 3	viral cRNA	BJ/232/09	China	Beijing	Asia	2009	3	1	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732150.1	GU732150	Human respirovirus 3	viral cRNA	BJ/236/09	China	Beijing	Asia	2009	4	1	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732151.1	GU732151	Human respirovirus 3	viral cRNA	BJ/247/09	China	Beijing	Asia	2009	4	1	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732152.1	GU732152	Human respirovirus 3	viral cRNA	BJ/255/09	China	Beijing	Asia	2009	4	1	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732153.1	GU732153	Human respirovirus 3	viral cRNA	BJ/258/09	China	Beijing	Asia	2009	4	1	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732154.1	GU732154	Human respirovirus 3	viral cRNA	BJ/262/09	China	Beijing	Asia	2009	4	1	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732155.1	GU732155	Human respirovirus 3	viral cRNA	BJ/266/09	China	Beijing	Asia	2009	4	1	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732156.1	GU732156	Human respirovirus 3	viral cRNA	BJ/270/09	China	Beijing	Asia	2009	4	1	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732157.1	GU732157	Human respirovirus 3	viral cRNA	BJ/279/09	China	Beijing	Asia	2009	5	1	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732158.1	GU732158	Human respirovirus 3	viral cRNA	BJ/291/09	China	Beijing	Asia	2009	6	1	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732159.1	GU732159	Human respirovirus 3	viral cRNA	BJ/296/09	China	Beijing	Asia	2009	6	1	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732160.1	GU732160	Human respirovirus 3	viral cRNA	BJ/306/09	China	Beijing	Asia	2009	7	1	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732161.1	GU732161	Human respirovirus 3	viral cRNA	BJ/308/09	China	Beijing	Asia	2009	7	1	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732162.1	GU732162	Human respirovirus 3	viral cRNA	BJ/312/09	China	Beijing	Asia	2009	7	1	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732163.1	GU732163	Human respirovirus 3	viral cRNA	BJ/322/09	China	Beijing	Asia	2009	7	1	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732164.1	GU732164	Human respirovirus 3	viral cRNA	BJ/323/09	China	Beijing	Asia	2009	7	1	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732165.1	GU732165	Human respirovirus 3	viral cRNA	BJ/324/09	China	Beijing	Asia	2009	8	1	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732166.1	GU732166	Human respirovirus 3	viral cRNA	BJ/325/09	China	Beijing	Asia	2009	8	1	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732167.1	GU732167	Human respirovirus 3	viral cRNA	BJ/327/09	China	Beijing	Asia	2009	8	1	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732168.1	GU732168	Human respirovirus 3	viral cRNA	BJ/328/09	China	Beijing	Asia	2009	8	1	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732169.1	GU732169	Human respirovirus 3	viral cRNA	BJ/333/09	China	Beijing	Asia	2009	9	1	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732170.1	GU732170	Human respirovirus 3	viral cRNA	BJ/338/09	China	Beijing	Asia	2009	10	1	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
GU732171.1	GU732171	Human respirovirus 3	viral cRNA	BJ/341/09	China	Beijing	Asia	2009	10	1	Homo sapiens	nasopharyngeal wash from individual	NA	1719	0	0	0	100	0	0	0	0
JF416795.1	JF416795	Human respirovirus 3	viral cRNA	KPIV-06-3	South Korea	NA	Asia	2006	6	5	Homo sapiens	serum	NA	1719	0	0	0	100	0	0	0	0
JF416796.1	JF416796	Human respirovirus 3	viral cRNA	KPIV-06-4	South Korea	NA	Asia	2006	6	7	Homo sapiens	serum	NA	1719	0	0	0	100	0	0	0	0
JX131646.1	JX131646	Human respirovirus 3	viral cRNA	Riyadh 45/2008	Saudi Arabia	Riyadh	Asia	2008	3	16	Homo sapiens; male	nasopharynx	NA	1719	0	0	0	100	0	0	0	0
JX131647.1	JX131647	Human respirovirus 3	viral cRNA	Riyadh 50/2008	Saudi Arabia	Riyadh	Asia	2008	4	12	Homo sapiens; male	nasopharynx	NA	1719	0	0	0	100	0	0	0	0
JX131648.1	JX131648	Human respirovirus 3	viral cRNA	Riyadh 119/2009	Saudi Arabia	Riyadh	Asia	2009	1	18	Homo sapiens; male	nasopharynx	NA	1719	0	0	0	100	0	0	0	0
JX131649.1	JX131649	Human respirovirus 3	viral cRNA	Riyadh 63/2008	Saudi Arabia	NA	Asia	2008	11	21	Homo sapiens	nasopharynx	NA	1719	0	0	0	100	0	0	0	0
KF217146.1	KF217146	Human respirovirus 3	viral cRNA	NA	Spain	NA	Europe	2012	6	12	Homo sapiens	NA	HSJD1015	1703	0	0	0	99.06922629	0	0	0	0
KF217147.1	KF217147	Human respirovirus 3	viral cRNA	NA	Spain	NA	Europe	2012	6	16	Homo sapiens	NA	HSJD1018	1703	0	0	0	99.06922629	0	0	0	0
KF217148.1	KF217148	Human respirovirus 3	viral cRNA	NA	Spain	NA	Europe	2012	7	5	Homo sapiens	NA	HSJD1027	1703	0	0	0	99.06922629	0	0	0	0
KF217149.1	KF217149	Human respirovirus 3	viral cRNA	NA	Spain	NA	Europe	2012	7	6	Homo sapiens	NA	HSJD1028	1703	0	0	0	99.06922629	0	0	0	0
KF217150.1	KF217150	Human respirovirus 3	viral cRNA	NA	Spain	NA	Europe	2012	7	9	Homo sapiens	NA	HSJD1031	1703	0	0	0	99.06922629	0	0	0	0
KF217151.1	KF217151	Human respirovirus 3	viral cRNA	NA	Spain	NA	Europe	2012	7	9	Homo sapiens	NA	HSJD1033	1703	0	0	0	99.06922629	0	0	0	0
KF217152.1	KF217152	Human respirovirus 3	viral cRNA	NA	Spain	NA	Europe	2012	7	12	Homo sapiens	NA	HSJD1036	1703	0	0	0	99.06922629	0	0	0	0
KF217153.1	KF217153	Human respirovirus 3	viral cRNA	NA	Spain	NA	Europe	2012	7	10	Homo sapiens	NA	HSJD1037	1703	0	0	0	99.06922629	0	0	0	0
KF217154.1	KF217154	Human respirovirus 3	viral cRNA	NA	Spain	NA	Europe	2012	7	16	Homo sapiens	NA	HSJD1038	1703	0	0	0	99.06922629	0	0	0	0
KF217155.1	KF217155	Human respirovirus 3	viral cRNA	NA	Spain	NA	Europe	2012	7	20	Homo sapiens	NA	HSJD1043	1703	0	0	0	99.06922629	0	0	0	0
KF217156.1	KF217156	Human respirovirus 3	viral cRNA	NA	Spain	NA	Europe	2012	7	25	Homo sapiens	NA	HSJD1050	1703	0	0	0	99.06922629	0	0	0	0
KF217157.1	KF217157	Human respirovirus 3	viral cRNA	NA	Spain	NA	Europe	2012	7	26	Homo sapiens	NA	HSJD1051	1703	0	0	0	99.06922629	0	0	0	0
KF217158.1	KF217158	Human respirovirus 3	viral cRNA	NA	Spain	NA	Europe	2012	9	26	Homo sapiens	NA	HSJD1073	1703	0	0	0	99.06922629	0	0	0	0
KF217159.1	KF217159	Human respirovirus 3	viral cRNA	NA	Spain	NA	Europe	2012	10	22	Homo sapiens	NA	HSJD1106	1703	0	0	0	99.06922629	0	0	0	0
KF217160.1	KF217160	Human respirovirus 3	viral cRNA	NA	Spain	NA	Europe	2012	12	24	Homo sapiens	NA	HSJD1235	1703	0	0	0	99.06922629	0	0	0	0
KF217161.1	KF217161	Human respirovirus 3	viral cRNA	NA	Spain	NA	Europe	2010	3	4	Homo sapiens	NA	HSJD272	1703	0	0	0	99.06922629	0	0	0	0
KF217162.1	KF217162	Human respirovirus 3	viral cRNA	NA	Spain	NA	Europe	2010	11	12	Homo sapiens	NA	HSJD456	1703	0	0	0	99.06922629	0	0	0	0
KF217163.1	KF217163	Human respirovirus 3	viral cRNA	NA	Spain	NA	Europe	2010	11	26	Homo sapiens	NA	HSJD476	1703	0	0	0	99.06922629	0	0	0	0
KF217164.1	KF217164	Human respirovirus 3	viral cRNA	NA	Spain	NA	Europe	2010	11	26	Homo sapiens	NA	HSJD477	1703	0	0	0	99.06922629	0	0	0	0
KF217165.1	KF217165	Human respirovirus 3	viral cRNA	NA	Spain	NA	Europe	2011	3	13	Homo sapiens	NA	HSJD698	1703	0	0	0	99.06922629	0	0	0	0
KF217166.1	KF217166	Human respirovirus 3	viral cRNA	NA	Spain	NA	Europe	2011	4	17	Homo sapiens	NA	HSJD727	1703	0	0	0	99.06922629	0	0	0	0
KF217167.1	KF217167	Human respirovirus 3	viral cRNA	NA	Spain	NA	Europe	2011	5	26	Homo sapiens	NA	HSJD746	1703	0	0	0	99.06922629	0	0	0	0
KF217168.1	KF217168	Human respirovirus 3	viral cRNA	NA	Spain	NA	Europe	2011	11	23	Homo sapiens	NA	HSJD794	1703	0	0	0	99.06922629	0	0	0	0
KF217169.1	KF217169	Human respirovirus 3	viral cRNA	NA	Spain	NA	Europe	2012	5	5	Homo sapiens	NA	HSJD996	1703	0	0	0	99.06922629	0	0	0	0
KF217170.1	KF217170	Human respirovirus 3	viral cRNA	NA	Spain	NA	Europe	2012	5	6	Homo sapiens	NA	HSJD997	1703	0	0	0	99.06922629	0	0	0	0
KF530228.1	KF530228	Human respirovirus 3	viral cRNA	HPIV3/ZAF/3314/2010	South Africa	NA	Africa	2010	10	8	Homo sapiens	NA	NA	15402	61.56330749	100	100	100	87.11819389	61.56330749	100	100
KF530232.1	KF530232	Human respirovirus 3	viral cRNA	HPIV3/USA/10991B/2010	USA	SE Wisconsin	NorthAm	2010	7	6	Homo sapiens; sex: M; age: 2Y	NA	NA	15405	100	100	100	100	100	99.87080103	100	100
KF530233.1	KF530233	Human respirovirus 3	viral cRNA	HPIV3/FRA/29111069/2009	France	NA	Europe	2009	3	9	Homo sapiens	NA	NA	15405	100	100	100	100	100	99.87080103	100	100
KF530234.1	KF530234	Human respirovirus 3	viral cRNA	HPIV3/MEX/1526/2005	Mexico	NA	NorthAm	2005	2	11	Homo sapiens; sex: M; age: 8M	NA	NA	15340	100	100	100	100	100	100	100	100
KF530236.1	KF530236	Human respirovirus 3	viral cRNA	HPIV3/FRA/30264021/2010	France	NA	Europe	2010	7	1	Homo sapiens	NA	NA	15405	100	100	100	100	100	100	100	100
KF530244.1	KF530244	Human respirovirus 3	viral cRNA	HPIV3/ZAF/2262/2008	South Africa	NA	Africa	2008	3	8	Homo sapiens; sex: F; age: 80Y	NA	NA	15398	36.95090439	88.51224105	100	100	33.52515862	36.95090439	21.00608071	33.66071429
KF530245.1	KF530245	Human respirovirus 3	viral cRNA	HPIV3/ARG/10068/2004	Argentina	NA	SouthAm	2004	11	17	Homo sapiens	NA	NA	15382	100	100	100	100	100	100	100	100
KF530250.1	KF530250	Human respirovirus 3	viral cRNA	HPIV3/MEX/2545/2006	Mexico	NA	NorthAm	2006	2	20	Homo sapiens; sex: F; age: 23M	NA	NA	15405	100	100	100	100	100	99.87080103	100	100
KF530253.1	KF530253	Human respirovirus 3	viral cRNA	HPIV3/FRA/27273076/2007	France	NA	Europe	2007	7	4	Homo sapiens	NA	NA	15405	100	100	100	100	100	100	100	100
KF530257.1	KF530257	Human respirovirus 3	viral cRNA	HPIV3/ARG/15318/2007	Argentina	NA	SouthAm	2007	9	14	Homo sapiens	NA	NA	15382	100	100	100	100	100	100	100	100
KF600603.1	KF600603	Human respirovirus 3	viral cRNA	ShangHai/210/09	China	Shanghai	Asia	2009	6	12	Homo sapiens	nasopharyngeal aspirate	NA	1719	0	0	0	100	0	0	0	0
KF600604.1	KF600604	Human respirovirus 3	viral cRNA	ShangHai/1261/09	China	Shanghai	Asia	2009	7	17	Homo sapiens	nasopharyngeal aspirate	NA	1719	0	0	0	100	0	0	0	0
KF600605.1	KF600605	Human respirovirus 3	viral cRNA	ShangHai/1431/10	China	Shanghai	Asia	2009	4	11	Homo sapiens	nasopharyngeal aspirate	NA	1719	0	0	0	100	0	0	0	0
KF600606.1	KF600606	Human respirovirus 3	viral cRNA	ShangHai/2552/10	China	Shanghai	Asia	2010	6	8	Homo sapiens	nasopharyngeal aspirate	NA	1719	0	0	0	100	0	0	0	0
KF600607.1	KF600607	Human respirovirus 3	viral cRNA	ShangHai/2555/10	China	Shanghai	Asia	2010	6	8	Homo sapiens	nasopharyngeal aspirate	NA	1719	0	0	0	100	0	0	0	0
KF687319.1	KF687319	Human respirovirus 3	viral cRNA	HPIV3/MEX/1077/2004	Mexico	NA	NorthAm	2004	4	26	Homo sapiens; sex: M; age: 7M	NA	NA	15366	100	100	100	100	100	100	100	100
KF687320.1	KF687320	Human respirovirus 3	viral cRNA	HPIV3/MEX/1099/2004	Mexico	NA	NorthAm	2004	5	17	Homo sapiens; sex: F	NA	NA	14585	100	100	100	100	89.64143426	100	100	100
KF687321.1	KF687321	Human respirovirus 3	viral cRNA	HPIV3/MEX/1110/2004	Mexico	NA	NorthAm	2004	5	31	Homo sapiens	NA	NA	15329	100	100	100	100	100	100	100	100
KF687322.1	KF687322	Human respirovirus 3	viral cRNA	HPIV3/MEX/1512/2005	Mexico	NA	NorthAm	2005	2	7	Homo sapiens; sex: M; age: 7M	NA	NA	14572	100	100	100	100	89.44960897	100	100	100
KF687323.1	KF687323	Human respirovirus 3	viral cRNA	HPIV3/MEX/1527/2005	Mexico	NA	NorthAm	2005	2	11	Homo sapiens; sex: F; age: 10M	NA	NA	14373	100	100	100	100	86.94112439	100	100	100
KF687324.1	KF687324	Human respirovirus 3	viral cRNA	HPIV3/MEX/2822/2006	Mexico	NA	NorthAm	2006	5	31	Homo sapiens; sex: F; age: 51M	NA	NA	14506	100	100	100	100	88.75608676	99.87080103	100	100
KF687325.1	KF687325	Human respirovirus 3	viral cRNA	HPIV3/MEX/2831/2006	Mexico	NA	NorthAm	2006	6	6	Homo sapiens; sex: M	NA	NA	15172	100	100	100	100	98.37686292	100	100	100
KF687326.1	KF687326	Human respirovirus 3	viral cRNA	HPIV3/MEX/2841/2006	Mexico	NA	NorthAm	2006	6	12	Homo sapiens; sex: F; age: 35M	NA	NA	14134	73.51421189	100	100	100	89.77423639	73.38501292	100	100
KF687327.1	KF687327	Human respirovirus 3	viral cRNA	HPIV3/MEX/3593/2007	Mexico	NA	NorthAm	2007	2	16	Homo sapiens; sex: M; age: 26M	NA	NA	14581	100	100	100	100	89.65619005	99.87080103	100	100
KF687328.1	KF687328	Human respirovirus 3	viral cRNA	HPIV3/MEX/3640/2007	Mexico	NA	NorthAm	2007	3	4	Homo sapiens; sex: F; age: 5M	NA	NA	14582	100	100	100	100	89.67094585	99.87080103	100	100
KF687329.2	KF687329	Human respirovirus 3	viral cRNA	HPIV3/MEX/4159/2008	Mexico	NA	NorthAm	2008	3	4	Homo sapiens; sex: M; age: 2M	NA	NA	14460	66.27906977	100	100	100	87.67891397	66.27906977	100	100
KF687330.1	KF687330	Human respirovirus 3	viral cRNA	HPIV3/MEX/4169/2008	Mexico	NA	NorthAm	2008	3	11	Homo sapiens; sex: M; age: 25M	NA	NA	14577	100	100	100	100	89.44960897	99.87080103	100	100
KF687331.2	KF687331	Human respirovirus 3	viral cRNA	HPIV3/MEX/4601/2009	Mexico	NA	NorthAm	2009	1	27	Homo sapiens; sex: M; age: 8M	NA	NA	14096	42.11886305	100	100	100	88.96266785	42.11886305	32.39514349	0
KF687332.1	KF687332	Human respirovirus 3	viral cRNA	HPIV3/MEX/4638/2009	Mexico	NA	NorthAm	2009	2	11	Homo sapiens; sex: M; age: 5M	NA	NA	14571	100	100	100	100	89.55289951	99.87080103	100	100
KF687338.2	KF687338	Human respirovirus 3	viral cRNA	HPIV3/ZAF/3227/2010	South Africa	NA	Africa	2010	9	27	Homo sapiens; sex: M; age: 17Y	NA	NA	14156	63.69509044	100	99.44444444	100	70.51792829	63.69509044	70.86092715	52.85714286
KF687340.1	KF687340	Human respirovirus 3	viral cRNA	HPIV3/ZAF/3372/2010	South Africa	NA	Africa	2010	10	15	Homo sapiens; sex: M; age: 3M	NA	NA	15263	100	100	100	100	100	100	100	100
KF687341.2	KF687341	Human respirovirus 3	viral cRNA	HPIV3/ARG/12894/2006	Argentina	NA	SouthAm	2006	6	16	Homo sapiens	NA	NA	14322	37.27390181	44.25612053	100	100	34.66129514	37.27390181	100	100
KF687342.2	KF687342	Human respirovirus 3	viral cRNA	HPIV3/ARG/14555/2007	Argentina	NA	SouthAm	2007	5	11	Homo sapiens	NA	NA	14423	65.31007752	100	100	100	87.61989081	65.31007752	100	100
KF687343.1	KF687343	Human respirovirus 3	viral cRNA	HPIV3/ARG/13009/2006	Argentina	NA	SouthAm	2006	7	6	Homo sapiens	NA	NA	14478	100	100	100	100	87.61989081	100	100	100
KF687344.1	KF687344	Human respirovirus 3	viral cRNA	HPIV3/ZAF/2516/2008	South Africa	NA	Africa	2008	8	25	Homo sapiens; age: 1M	NA	NA	14419	100	100	100	100	87.13294968	100	100	100
KF687348.1	KF687348	Human respirovirus 3	viral cRNA	HPIV3/USA/8745D/2011	USA	SE Wisconsin	NorthAm	2011	1	5	Homo sapiens; sex: M; age: 4Y	NA	NA	14560	100	100	100	100	89.34631843	99.87080103	100	100
KF687349.1	KF687349	Human respirovirus 3	viral cRNA	HPIV3/FRA/26232106/2006	France	NA	Europe	2006	6	6	Homo sapiens	NA	NA	14564	100	100	100	100	89.67094585	100	100	100
KF687350.2	KF687350	Human respirovirus 3	viral cRNA	HPIV3/FRA/27045070/2007	France	NA	Europe	2007	1	26	Homo sapiens	NA	NA	14419	64.5994832	100	100	100	87.2805076	64.5994832	100	100
KF687351.1	KF687351	Human respirovirus 3	viral cRNA	HPIV3/FRA/28015134/2008	France	NA	Europe	2008	1	4	Homo sapiens	NA	NA	14446	66.98966408	100	100	100	87.36904235	66.98966408	100	100
KF687352.1	KF687352	Human respirovirus 3	viral cRNA	HPIV3/FRA/29122056/2009	France	NA	Europe	2009	3	17	Homo sapiens	NA	NA	14246	90.24547804	100	100	100	87.57562343	90.24547804	100	100
KF687353.1	KF687353	Human respirovirus 3	viral cRNA	HPIV3/FRA/30254042/2010	France	NA	Europe	2010	6	24	Homo sapiens	NA	NA	14590	100	100	100	100	89.67094585	100	100	100
KF687354.1	KF687354	Human respirovirus 3	viral cRNA	HPIV3/FRA/30261045/2010	France	NA	Europe	2010	6	28	Homo sapiens	NA	NA	14615	100	100	100	100	90.03984064	100	100	100
KF687356.2	KF687356	Human respirovirus 3	viral cRNA	HPIV3/FRA/31065118/2011	France	NA	Europe	2011	2	11	Homo sapiens	NA	NA	14552	100	100	100	100	72.20008853	100	100	100
KF687357.1	KF687357	Human respirovirus 3	viral cRNA	HPIV3/USA/35084A/2011	USA	SE Wisconsin	NorthAm	2011	1	6	Homo sapiens; sex: M; age: 1Y	NA	NA	14682	100	100	100	100	91.14652501	100	100	100
KF687358.1	KF687358	Human respirovirus 3	viral cRNA	HPIV3/CHE/1105230137/2011	Switzerland	NA	Europe	2011	5	23	Homo sapiens; sex: M; age: 69Y	NA	NA	14564	100	100	100	100	89.4053416	100	100	100
KJ672527.1	KJ672527	Human respirovirus 3	viral cRNA	HPIV3/Homo sapiens/PER/FLU7965/2007	Peru	Piura	SouthAm	2007	8	25	Homo sapiens; sex: M; age: 1Y	NA	NA	15262	100	100	100	100	99.95573263	99.87080103	100	100
KJ672528.1	KJ672528	Human respirovirus 3	viral cRNA	HPIV3/Homo sapiens/PER/FLA6504/2009	Peru	Iquitos	SouthAm	2009	3	25	Homo sapiens; sex: M; age: 2Y	NA	NA	14149	100	100	100	99.88365329	28.54371829	100	100	100
KJ672529.1	KJ672529	Human respirovirus 3	viral cRNA	HPIV3/Homo sapiens/PER/FLA4571/2008	Peru	Iquitos	SouthAm	2008	10	31	Homo sapiens; sex: F; age: 2Y	NA	NA	15266	100	100	100	100	100	99.87080103	100	100
KJ672530.1	KJ672530	Human respirovirus 3	viral cRNA	HPIV3/Homo sapiens/PER/FLA6024/2009	Peru	Piura	SouthAm	2009	2	10	Homo sapiens; sex: M; age: 5M	NA	NA	15227	100	100	100	100	99.43927992	100	100	100
KJ672531.1	KJ672531	Human respirovirus 3	viral cRNA	HPIV3/Homo sapiens/PER/FPP01456/2012	Peru	Piura	SouthAm	2012	5	22	Homo sapiens; sex: M; age: 9Y	NA	NA	15310	99.80620155	100	100	100	100	99.80620155	100	100
KJ672532.1	KJ672532	Human respirovirus 3	viral cRNA	HPIV3/Homo sapiens/PER/FLU9187/2007	Peru	Piura	SouthAm	2007	10	31	Homo sapiens; sex: M; age: 6M	NA	NA	15353	100	100	100	100	100	99.87080103	100	100
KJ672533.1	KJ672533	Human respirovirus 3	viral cRNA	HPIV3/Homo sapiens/PER/FPP00794/2011	Peru	Piura	SouthAm	2011	8	29	Homo sapiens; sex: M; age: 1Y	NA	NA	15348	100	100	100	100	100	99.87080103	100	100
KJ672534.1	KJ672534	Human respirovirus 3	viral cRNA	HPIV3/Homo sapiens/PER/FLA4284/2008	Peru	Piura	SouthAm	2008	10	15	Homo sapiens; sex: M; age: 2Y	NA	NA	15063	100	100	100	100	97.01933009	99.87080103	100	100
KJ672535.1	KJ672535	Human respirovirus 3	viral cRNA	HPIV3/Homo sapiens/PER/FPP00580/2011	Peru	Piura	SouthAm	2011	5	30	Homo sapiens; sex: M; age: 3Y	NA	NA	15341	100	100	100	100	100	99.87080103	100	100
KJ672536.1	KJ672536	Human respirovirus 3	viral cRNA	HPIV3/Homo sapiens/PER/FPP00491/2011	Peru	Piura	SouthAm	2011	5	2	Homo sapiens; sex: F; age: 2Y	NA	NA	14672	99.35400517	100	100	100	91.81053564	99.35400517	100	100
