accession	locus	organism	mol_type	strain	country	location	continent	collection_date.y	collection_date.m	collection_date.d	host	isolation_source	isolate	length	N	M	F	HN	L	NP	P	D
AB623521.1	AB623521	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1734	Japan	Yamagata	Asia	2005	8	1	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623522.1	AB623522	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1738	Japan	Yamagata	Asia	2005	8	2	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623523.1	AB623523	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1744	Japan	Yamagata	Asia	2005	8	4	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623524.1	AB623524	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1763	Japan	Yamagata	Asia	2005	8	3	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623525.1	AB623525	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1764	Japan	Yamagata	Asia	2005	8	3	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623526.1	AB623526	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1775	Japan	Yamagata	Asia	2005	8	4	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623527.1	AB623527	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1777	Japan	Yamagata	Asia	2005	8	5	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623528.1	AB623528	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1782	Japan	Yamagata	Asia	2005	8	5	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623529.1	AB623529	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1792	Japan	Yamagata	Asia	2005	8	9	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623530.1	AB623530	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1834	Japan	Yamagata	Asia	2005	8	12	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623531.1	AB623531	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1840	Japan	Yamagata	Asia	2005	8	15	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623532.1	AB623532	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1925	Japan	Yamagata	Asia	2005	8	29	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623533.1	AB623533	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1981	Japan	Yamagata	Asia	2005	9	3	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623534.1	AB623534	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/1988	Japan	Yamagata	Asia	2005	9	5	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623535.1	AB623535	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2005/2030	Japan	Yamagata	Asia	2005	9	14	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623536.1	AB623536	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2006/1006	Japan	Yamagata	Asia	2006	4	17	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623537.1	AB623537	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2006/1090	Japan	Yamagata	Asia	2006	4	26	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
AB623538.1	AB623538	Human respirovirus 3	viral cRNA	HPIVi/Yamagata/2006/1183	Japan	Yamagata	Asia	2006	5	8	Homo sapiens	throat swab from child with acute	NA	1352	0	0	0	78.65037813	0	0	0	0
